@relation Testing.arff

@attribute Loc numeric 
@attribute Revision numeric 
@attribute Author_Number numeric 
@attribute Bug_Fix numeric 
@attribute Age_class numeric 
@attribute Churn numeric 
@attribute Loc_Added numeric 
@attribute ChgSetSize numeric 
@attribute Loc_Touched numeric 
@attribute Loc_Weighted_Methods numeric 
@attribute Variance_Loc_Added numeric 
@attribute Buggy{NO,YES} 

@data
2,3,3,0,2049,24,24,331,24,2.0,0.0,NO
3,4,4,1,2057,31,31,357,31,3.0,156.25,YES
45,13,13,9,2059,261,387,489,555,45.0,1623.1759259259256,YES
62,16,17,12,2059,385,1005,492,1761,62.0,1203.7764951428792,YES
2,3,17,0,2049,24,24,331,24,2.0,0.0,NO
30,6,19,3,2059,198,228,403,268,30.0,3025.0177514792895,YES
26,6,19,3,2059,173,196,403,227,26.0,2729.4214876033056,YES
5,3,19,0,2049,32,32,331,32,5.0,0.0,NO
6,3,19,0,2049,36,36,331,36,6.0,0.0,NO
5,4,19,1,2057,38,38,357,38,5.0,324.0,YES
18,10,19,6,2057,221,270,476,331,18.0,2384.3999999999996,YES
36,15,23,11,2060,68,643,507,1329,36.0,455.5341229119248,YES
32,9,23,6,2059,75,226,460,409,32.0,531.625156184923,YES
1,1,23,1,2055,0,0,21,0,1.0,?,NO
3,3,23,0,2049,28,28,331,28,3.0,0.0,NO
9,6,23,3,2059,57,72,404,94,9.0,237.83333333333334,YES
9,5,23,2,2059,52,67,378,91,9.0,238.80999999999995,NO
37,2,23,2,2060,5,5,43,5,37.0,0.0,NO
37,2,23,2,2060,16,16,43,16,37.0,3.0,NO
86,1,23,1,2059,0,0,27,0,86.0,?,NO
7,5,23,2,2059,532,548,384,578,7.0,3739.082644628099,YES
5,5,23,2,2059,310,325,384,355,5.0,1317.7210743801652,YES
30,2,23,2,2060,-3,7,43,18,30.0,3.6875,NO
26,2,23,2,2060,10,19,43,31,26.0,3.9183673469387754,NO
50,1,23,1,2060,0,0,16,0,50.0,?,NO
12,1,23,1,2060,0,0,16,0,12.0,?,NO
55,1,23,1,2060,0,0,16,0,55.0,?,NO
35,1,23,1,2060,0,0,16,0,35.0,?,NO
26,1,23,1,2060,0,0,16,0,26.0,?,NO
7,4,23,1,2057,48,48,357,48,7.0,400.0,YES
8,6,25,2,2057,52,86,357,128,8.0,326.08284023668637,YES
11,4,25,1,2057,87,88,350,90,11.0,1849.0,NO
24,8,26,5,2060,214,356,435,525,24.0,455.8143209876543,YES
25,9,27,6,2061,291,390,430,511,25.0,740.0136054421768,YES
18,5,27,2,2057,126,151,385,183,18.0,617.9637188208617,YES
13,4,27,1,2056,81,87,359,93,13.0,1419.1875,NO
8,4,27,1,2056,119,127,359,135,8.0,1080.138888888889,NO
2,1,27,1,2055,0,0,21,0,2.0,?,NO
19,9,27,5,2057,144,226,448,325,19.0,1240.6468489892984,YES
14,8,28,5,2057,66,155,430,256,14.0,329.68,YES
11,8,28,5,2059,54,90,436,133,11.0,238.3877551020408,YES
12,5,28,2,2059,69,89,378,116,12.0,620.609375,NO
15,8,28,5,2059,112,138,452,176,15.0,798.359375,YES
11,4,29,0,2049,63,91,335,124,11.0,840.2857142857143,NO
2,4,29,0,2049,28,31,335,36,2.0,156.2222222222222,NO
26,12,31,8,2056,181,256,466,351,26.0,1434.190311418685,YES
